tarih,simdi,acilis,yuksek,dusuk,hacim,fark
13.02.2020,"15,69","15,98","16,33","15,61","3,84M","-1,01%"
12.02.2020,"15,85","15,60","16,14","15,43","6,79M","2,26%"
11.02.2020,"15,50","14,79","15,79","14,39","9,38M","6,75%"
10.02.2020,"14,52","15,04","15,63","13,91","5,47M","-3,07%"
07.02.2020,"14,98","15,29","15,46","14,87","3,02M","-1,71%"
06.02.2020,"15,24","15,70","15,80","15,21","4,22M","-1,23%"
05.02.2020,"15,43","15,49","15,85","15,35","3,63M","0,06%"
04.02.2020,"15,42","15,06","15,63","15,01","4,26M","3,98%"
03.02.2020,"14,83","14,88","15,20","14,67","2,32M","0,00%"
31.01.2020,"14,83","14,60","15,35","14,53","4,48M","2,91%"
30.01.2020,"14,41","14,99","14,99","14,08","3,26M","-4,13%"
29.01.2020,"15,03","16,15","16,25","15,03","4,32M","-5,35%"
28.01.2020,"15,88","16,88","17,46","15,82","7,98M","-3,93%"
27.01.2020,"16,53","15,08","17,35","14,97","10,50M","9,25%"
24.01.2020,"15,13","14,53","15,40","14,45","6,29M","5,07%"
23.01.2020,"14,40","14,11","14,72","14,03","4,80M","1,77%"
22.01.2020,"14,15","14,38","14,59","14,13","3,30M","-1,46%"
21.01.2020,"14,36","14,48","14,54","14,24","3,77M","-1,58%"
20.01.2020,"14,59","14,24","14,89","14,11","8,02M","3,62%"
17.01.2020,"14,08","14,24","14,50","13,96","2,73M","-0,14%"
16.01.2020,"14,10","14,70","15,09","13,90","6,04M","-1,95%"
15.01.2020,"14,38","13,80","14,94","13,80","11,17M","4,81%"
14.01.2020,"13,72","13,46","13,84","13,23","5,46M","2,39%"
13.01.2020,"13,40","13,42","13,65","13,32","3,92M","1,82%"
10.01.2020,"13,16","13,20","13,47","13,05","3,78M","0,15%"
09.01.2020,"13,14","12,51","13,14","12,51","4,07M","8,15%"
08.01.2020,"12,15","12,00","12,46","11,76","2,73M","-1,78%"
07.01.2020,"12,37","12,50","12,60","12,30","2,05M","1,23%"
06.01.2020,"12,22","13,17","13,17","11,89","3,12M","-7,91%"
03.01.2020,"13,27","13,57","13,85","12,87","3,65M","-3,42%"
02.01.2020,"13,74","13,30","13,96","13,20","5,84M","5,21%"
31.12.2019,"13,06","13,19","13,23","12,98","966,79K","-0,46%"
30.12.2019,"13,12","13,04","13,25","12,81","2,37M","1,00%"
27.12.2019,"12,99","13,36","13,38","12,81","1,82M","-2,04%"
26.12.2019,"13,26","13,40","13,66","13,10","2,69M","-0,67%"
25.12.2019,"13,35","13,30","13,70","13,24","3,08M","1,06%"
24.12.2019,"13,21","13,33","13,59","13,21","1,77M","-0,45%"
23.12.2019,"13,27","12,98","13,73","12,95","4,17M","2,79%"
20.12.2019,"12,91","13,18","13,27","12,91","1,76M","-1,38%"
19.12.2019,"13,09","13,28","13,45","12,99","2,26M","-0,46%"
18.12.2019,"13,15","13,20","13,56","12,99","2,30M","-0,38%"
17.12.2019,"13,20","13,85","14,00","13,13","2,60M","-3,72%"
16.12.2019,"13,71","13,63","14,23","13,58","3,96M","0,88%"
13.12.2019,"13,59","14,41","14,58","13,49","3,70M","-4,83%"
12.12.2019,"14,28","12,65","14,79","12,62","17,80M","13,78%"
11.12.2019,"12,55","12,69","12,83","12,47","4,34M","-0,24%"
10.12.2019,"12,58","13,08","13,34","12,55","6,86M","-3,23%"
09.12.2019,"13,00","13,20","13,57","13,00","4,59M","-0,91%"
06.12.2019,"13,12","14,23","14,28","13,08","3,64M","-6,82%"
05.12.2019,"14,08","13,34","14,44","13,18","7,33M","7,15%"
04.12.2019,"13,14","13,23","13,36","13,05","2,74M","0,69%"
03.12.2019,"13,05","13,00","13,60","12,86","4,38M","0,46%"
02.12.2019,"12,99","12,72","13,31","12,55","5,08M","2,69%"
29.11.2019,"12,65","13,22","13,37","12,50","4,50M","-3,66%"
28.11.2019,"13,13","12,16","13,70","12,06","14,40M","8,33%"
27.11.2019,"12,12","12,40","12,75","12,10","10,48M","0,83%"
26.11.2019,"12,02","10,12","12,02","10,10","15,29M","19,96%"
25.11.2019,"10,02","10,25","10,35","10,02","2,98M","-1,76%"
22.11.2019,"10,20","10,15","10,31","10,07","3,26M","1,19%"
21.11.2019,"10,08","10,18","10,23","10,03","2,86M","-0,98%"
20.11.2019,"10,18","10,48","10,57","10,13","2,49M","-3,05%"
19.11.2019,"10,50","10,18","10,55","10,17","4,76M","3,96%"
18.11.2019,"10,10","9,93","10,23","9,93","2,78M","2,12%"
15.11.2019,"9,89","9,89","9,99","9,85","1,30M","0,82%"
14.11.2019,"9,81","9,98","10,02","9,79","1,41M","-1,41%"
13.11.2019,"9,95","9,98","10,15","9,88","2,41M","0,00%"
12.11.2019,"9,95","9,95","10,22","9,91","3,32M","0,51%"
